x,y,Floor,Room #,Teacher
22,19,1,Hall,
22,20,1,Hall,
22,21,1,Hall,
22,22,1,null,
22,23,1,null,
22,24,1,null,
22,25,1,null,
22,26,1,null,
22,27,1,null,
22,28,1,null,
22,29,1,null,
22,30,1,null,
22,31,1,null,
22,32,1,null,
22,33,1,null,
22,34,1,null,
22,35,1,null,
22,36,1,null,
22,37,1,null,
23,0,1,null,
23,1,1,null,
23,2,1,null,
23,3,1,null,
23,4,1,null,
23,5,1,null,
23,6,1,PAC,
23,7,1,Hall,
23,8,1,Hall,
23,9,1,null,
23,10,1,null,
23,11,1,null,
23,12,1,null,
23,13,1,null,
23,14,1,null,
23,15,1,null,
23,16,1,Hall,
23,17,1,Hall,
23,18,1,Hall,
23,19,1,Hall,
23,20,1,Hall,
23,21,1,Hall,
23,22,1,null ,
23,23,1,null ,
23,24,1,null ,
23,25,1,null ,
23,26,1,null ,
23,27,1,null ,
23,28,1,null ,
23,29,1,null ,
23,30,1,null ,
23,31,1,null ,
23,32,1,null ,
23,33,1,null ,
23,34,1,null ,
23,35,1,null ,
23,36,1,null ,
23,37,1,null ,
24,0,1,null,
24,1,1,null,
24,2,1,null,
24,3,1,null,
24,4,1,null,
24,5,1,null,
24,6,1,null,
24,7,1,null,
24,8,1,Hall,
24,9,1,null,
24,10,1,null,
24,11,1,null,
24,12,1,null,
24,13,1,null,
24,14,1,null,
24,15,1,null,
24,16,1,Hall,
24,17,1,Hall,
24,18,1,Hall,
24,19,1,Hall,
24,20,1,Hall,
24,21,1,Hall,
24,22,1,Hall,
24,23,1,Hall,
24,24,1,Hall,
24,25,1,Hall,
24,26,1,Hall,
24,27,1,Hall,
24,28,1,Hall,
24,29,1,Hall,
24,30,1,Hall,
24,31,1,Hall,
24,32,1,Hall,
24,33,1,null,
24,34,1,null,
24,35,1,null,
24,36,1,null,
24,37,1,null,
25,0,1,null,
25,1,1,null,
25,2,1,null,
25,3,1,null,
25,4,1,null,
25,5,1,null,
25,6,1,null,
25,7,1,null,
25,8,1,Hall,
25,9,1,null,
25,10,1,null,
25,11,1,null,
25,12,1,null,
25,13,1,null,
25,14,1,null,
25,15,1,null,
25,16,1,Hall,
25,17,1,Hall,
25,18,1,Hall,
25,19,1,Hall,
25,20,1,Hall,
25,21,1,Hall,
25,22,1,null,
25,23,1,null,
25,24,1,Hall,
25,25,1,Stairs,47,25,
25,26,1,null,
25,27,1,Hall,
25,28,1,null,
25,29,1,null,
25,30,1,null,
25,31,1,Hall,
25,32,1,null,
25,33,1,null,
25,34,1,null,
25,35,1,null,
25,36,1,null,
25,37,1,null,
26,0,1,null,
26,1,1,null,
26,2,1,null,
26,3,1,null,
26,4,1,null,
26,5,1,null,
26,6,1,null,
26,7,1,null,
26,8,1,Hall,
26,9,1,null,
26,10,1,null,
26,11,1,null,
26,12,1,null,
26,13,1,null,
26,14,1,Hall,
26,15,1,Hall,
26,16,1,Hall,
26,17,1,Hall,
26,18,1,Hall,
26,19,1,Hall,
26,20,1,Hall,
26,21,1,Hall,
26,22,1,null,
26,23,1,null,
26,24,1,Hall,
26,25,1,null,
26,26,1,null,
26,27,1,Hall,
26,28,1,null,
26,29,1,null,
26,30,1,null,
26,31,1,Hall,
26,32,1,Hall,
26,33,1,Hall,
26,34,1,Hall,
26,35,1,Hall,
26,36,1,931,Tolentino
26,37,1,null,
